RDMD_ID,Region,"Household ID","Family Size","Urban / Rural"
464,17,590900600300101390134,002,2
465,17,590900600300100040004,004,2
466,17,590900600300101240121,003,2
467,17,590900600300100340033,001,2
468,17,590900600300100640061,001,2
469,17,590900600300100790076,003,2
470,17,590900600300101540149,006,2
471,17,590900600200000310039,004,2
472,17,590900600200000140017,003,2
473,17,590701100300100260026,007,2
474,17,590701100300100590057,003,2
475,17,590701100300100070007,004,2
476,17,590701100300100750073,005,2
477,17,590701100300100080008,002,2
478,17,590701100300103300308,004,2
479,17,590701100300102500232,001,2
480,17,590701100300102820262,001,2
481,17,590701100300102988002,002,2
482,17,590701100300102340217,004,2
483,17,590701100300100430043,003,2
484,17,590701100300100910088,003,2
485,17,590701100300102828001,002,2
486,17,590701100300101540141,004,2
487,17,590701100300100250025,003,2
488,17,590701100300101390128,006,2
489,17,590701100300102660248,006,2
490,17,590701100300101238003,007,2
491,17,590701100300101700156,003,2
492,17,590700800000003248001,007,2
493,17,590700800000001720153,001,2
494,17,590700800000000440039,003,2
495,17,590700800000000600054,003,2
496,17,590700800000002480221,005,2
497,17,590700800000000020002,004,2
498,17,590700800000003050275,006,2
499,17,590700800000000400036,004,2
500,17,590700800000002290204,003,2
501,17,590700800000002100186,004,2
502,17,590700800000001360120,005,2
503,17,590700800000000790068,002,2
504,17,590700800000002670240,006,2
505,17,590700800000000190017,004,2
506,17,590700800000000980084,005,2
507,17,590700800000001918002,005,2
508,17,590700800000001540137,007,2
509,17,590700500000000220021,004,2
510,17,590700500000003530316,002,2
511,17,590700500000000230022,004,2
512,17,590700500000002230199,005,2
513,17,590700500000000920085,002,2
514,17,590700500000001250114,007,2
515,17,590700500000003218001,005,2
516,17,590700500000001900170,009,2
517,17,590700500000001580142,003,2
518,17,590700500000000590055,005,2
519,17,590700500000003860349,003,2
520,17,590700500000002880257,005,2
521,17,590700400200000580056,002,2
522,17,590700400200000860081,002,2
523,17,590700400200001980177,002,2
524,17,590700400200000720068,003,2
525,17,590700400200001280117,001,2
526,17,590700400200000440042,005,2
527,17,590700400200000280027,004,2
528,17,590700400200001560139,004,2
529,17,590700400200001700152,009,2
530,17,590700400200001000094,006,2
531,17,590700400200001140104,004,2
532,17,590700400200001840165,002,2
533,17,590700400200000070007,003,2
534,17,590700400200001428001,002,2
535,17,590601000000000380036,002,2
536,17,590601000000000170015,002,2
537,17,590601000000001840169,004,2
538,17,590601000000001460134,004,2
539,17,590601000000002220199,004,2
540,17,590601000000000300028,005,2
541,17,590601000000000900080,006,2
542,17,590601000000002410216,005,2
543,17,590601000000000098001,004,2
544,17,590601000000001090099,001,2
545,17,590601000000001650152,001,2
546,17,590601000000002600234,007,2
547,17,590601000000000710062,007,2
548,17,590600800000000770066,005,2
549,17,590600800000000450041,003,2
550,17,590600800000000290027,002,2
551,17,590600800000000130012,004,2
552,17,590600500000000050004,006,2
553,17,590600500000000600056,002,2
554,17,590600500000000230021,004,2
555,17,590600500000000760072,006,2
556,17,590600500000000420039,001,2
557,17,590600500000000440041,004,2
558,17,590100800100000650059,004,2
559,17,590100800100002010191,003,2
560,17,590100800100000960090,003,2
561,17,590100800100000800074,004,2
562,17,590100800100001560148,007,2
563,17,590100800100000210020,001,2
564,17,590100800100000410038,003,2
565,17,590100800100000040004,009,2
566,17,590100800100000170017,003,2
