RDMD_ID,Region,"Household ID","H5 - Reported incident to authority","I4 - Type of construction materials of the floor","I7 - Presence electricity in the building/house"
601,17,532400800100000200019," ",4,1
602,17,532400800100001150098," ",1,1
603,17,532400800100000588001," ",4,2
604,17,532400300100001790170," ",4,1
605,17,532400300100000590055," ",4,2
606,17,532400300100002240210," ",4,1
607,17,532400300100002690255," ",4,1
608,17,532400300100000440042," ",5,1
609,17,532400300100000140014," ",4,1
610,17,532400300100001040096," ",4,1
611,17,532400300100000130013," ",4,1
612,17,532400300100000280028," ",4,1
613,17,532400300100002390225," ",4,2
614,17,532400300100001190110," ",4,2
615,17,532400300100000290029," ",1,1
616,17,532400300100000740069," ",4,1
617,17,532400300100002090197," ",4,1
618,17,532400300100001490140," ",4,2
619,17,532400300100000898001," ",4,1
620,17,532400300100001340125," ",4,2
621,17,532400300100001940183," ",4,1
622,17,532301100400101018006," ",4,1
623,17,532301100400100638002," ",4,2
624,17,532301100400101590157," ",4,1
625,17,532301100400100060006," ",4,1
626,17,532301100400100828005," ",4,1
627,17,532301100400100458001," ",4,2
628,17,532301100400101398003," ",4,2
629,17,532301100400100268004," ",4,1
630,17,532301100400100080007," ",1,1
631,17,532000800400200260026," ",1,1
632,17,532000800400201100110," ",2,1
633,17,532000800400200540054," ",1,1
634,17,532000800400200680068," ",1,1
635,17,532000800400201520152," ",1,1
636,17,532000800400200960096," ",1,1
637,17,532000800400201240124," ",1,1
638,17,532000800400200120012," ",4,1
639,17,532000800400200080008," ",1,1
640,17,532000800400200820082," ",1,1
641,17,532000800400201660166," ",1,1
642,17,532000800400201380138," ",5,1
643,17,532000800200001520128," ",4,1
644,17,532000800200000208001," ",4,1
645,17,532000800200000640051," ",4,1
646,17,532000800200000428002," ",4,1
647,17,532000800200002400211," ",4,1
648,17,532000800200001080089," ",2,1
649,17,532000800200000868003," ",2,1
650,17,532000800200001300110," ",4,1
651,17,532000800200002180189," ",1,1
652,17,532000800200002848005," ",5,1
653,17,532000800200001740147," ",4,1
654,17,532000800200001968004," ",4,1
655,17,532000800200000600048," ",4,1
656,17,532000300200002130191," ",4,1
657,17,532000300200002010179," ",1,1
658,17,532000300200001750154," ",4,1
659,17,532000300200001630143," ",5,1
660,17,532000300200000240018," ",4,1
661,17,532000300200000620051," ",4,1
662,17,532000300200000870074," ",4,1
663,17,532000300200000748001," ",1,1
664,17,532000300200001500131," ",4,1
665,17,532000300200001250109," ",1,1
666,17,532000300200000350028," ",4,1
667,17,532000300200001120097," ",4,2
668,17,532000300200000480038," ",1,1
669,17,532000300200000998002," ",1,1
670,17,532000300200000080008," ",1,1
671,17,532000300200000220017," ",4,1
672,17,532000300200001880166," ",1,1
673,17,531900800300101570138," ",1,1
674,17,531900800300100810067," ",1,1
675,17,531900800300100010001," ",1,1
676,17,531900800300100100008," ",1,1
677,17,531900800300100900076," ",4,1
678,17,531900800300101280110," ",1,1
679,17,531900800300100110009," ",1,1
680,17,531900800300100220019," ",1,1
681,17,531900800300101000084," ",1,1
682,17,531900800300100420036," ",4,1
683,17,531900800300101470129," ",5,1
684,17,531900800300100710059," ",1,1
685,17,531900800300101850164," ",1,1
686,17,531900800300100620051," ",1,1
687,17,531900800300101380120," ",1,1
688,17,531900800300100020002," ",4,2
689,17,531900800300101760156," ",1,1
690,17,531900800300101090093," ",1,1
691,17,531900800300100310025," ",1,1
692,17,531900500100000400040," ",1,1
693,17,531900500100001008002," ",1,1
694,17,531900500100002500236," ",1,1
695,17,531900500100000340034," ",5,1
696,17,531900500100000850085," ",4,1
697,17,531900500100000108001," ",1,1
698,17,531900500100001600149," ",1,1
699,17,531900500100000040004," ",1,1
700,17,531900500100001158003," ",1,1
701,17,531900500100000550055," ",1,1
702,17,531900500100001750162," ",4,1
703,17,531900500100001300126," ",1,1
