RDMD_ID,Region,"Household ID","J1 - Family's main source of water supply","WS1 - Family's main source of drinking water","WS2 - Family's main source of water used for other purposes"
391,17,591000900200001630160,01,72,11
392,16,020302800000000620072,01,72,11
393,16,020302800000001730192,01,72,11
394,16,020302800000001570173,01,72,11
395,16,020302800000000460056,04,11,"  "
396,16,020302800000001108001,01,72,11
397,16,020302800000001260140,01,72,11
398,16,020302800000000780089,01,72,11
399,16,020302800000000350041,01,72,11
400,16,020302800000000940105,01,72,11
401,16,020302800000001420157,04,21,"  "
402,16,020302800000000298002,01,72,11
403,17,591000800100000460041,01,11,"  "
404,17,591000800100000960084,05,72,21
405,17,591000800100002220199,04,72,21
406,17,591000800100001720153,04,21,"  "
407,17,591000800100002460220,04,72,21
408,17,591000800100000440039,04,72,21
409,17,591000800100001968002,04,21,"  "
410,17,591000800100000680058,04,72,21
411,17,591000800100000708001,04,21,"  "
412,17,591000800100001460129,04,21,"  "
413,17,591000100000000070007,01,72,11
414,17,591000100000001370130,02,12,"  "
415,17,591000100000000670063,02,12,"  "
416,17,591000100000000230022,01,72,11
417,17,591000100000001090103,01,11,"  "
418,17,591000100000000150015,01,11,"  "
419,17,591000100000000380035,01,11,"  "
420,17,591000100000000530049,01,72,11
421,17,591000100000001230116,01,11,"  "
422,17,591000100000000950089,02,13,"  "
423,17,590902500000004200377,01,72,11
424,17,590902500000003810338,06,41,"  "
425,17,590902500000001870166,01,72,11
426,17,590902500000004598001,04,21,"  "
427,17,590902500000003420301,07,42,"  "
428,17,590902500000001090098,01,72,11
429,17,590902500000000160016,01,72,11
430,17,590902500000000700066,01,72,11
431,17,590902500000002250199,01,72,11
432,17,590902500000000290027,01,72,11
433,17,590902500000003030268,03,72,14
434,17,590902500000002640234,04,31,"  "
435,17,590901500000000190019,01,72,11
436,17,590901500000001980188,04,21,"  "
437,17,590901500000000220022,06,41,"  "
438,17,590901500000000530052,04,21,"  "
439,17,590901500000001110106,02,41,"  "
440,17,590901500000000820078,04,72,21
441,17,590901500000001690159,01,11,"  "
442,17,590901500000000500049,04,21,"  "
443,17,590901500000001400131,04,21,"  "
444,17,590901000300101710160,01,72,11
445,17,590901000300100460042,01,72,11
446,17,590901000300100150015,01,11,"  "
447,17,590901000300101990186,01,72,11
448,17,590901000300100740067,01,72,11
449,17,590901000300100880082,01,72,11
450,17,590901000300101430131,01,72,11
451,17,590901000300101290118,01,72,11
452,17,590901000300100070007,01,72,11
453,17,590901000300100600056,01,72,11
454,17,590901000300101850175,01,72,11
455,17,590901000300100320130,01,72,11
456,17,590901000300101570144,01,72,11
457,17,590901000300101150107,01,72,11
458,17,590900600300100190018,04,31,"  "
459,17,590900600300101690164,04,72,11
460,17,590900600300101090106,04,72,11
461,17,590900600300101840179,04,31,"  "
462,17,590900600300100940091,04,31,"  "
463,17,590900600300100490046,01,72,11
464,17,590900600300101390134,04,31,"  "
465,17,590900600300100040004,01,72,11
466,17,590900600300101240121,04,11,"  "
467,17,590900600300100340033,04,12,"  "
468,17,590900600300100640061,04,31,"  "
469,17,590900600300100790076,04,31,"  "
470,17,590900600300101540149,04,21,"  "
471,17,590900600200000310039,01,72,11
472,17,590900600200000140017,01,72,11
473,17,590701100300100260026,01,72,11
474,17,590701100300100590057,01,72,11
475,17,590701100300100070007,01,72,11
476,17,590701100300100750073,01,11,"  "
477,17,590701100300100080008,01,72,11
478,17,590701100300103300308,01,11,"  "
479,17,590701100300102500232,05,72,31
480,17,590701100300102820262,01,72,11
481,17,590701100300102988002,01,72,11
482,17,590701100300102340217,01,72,11
483,17,590701100300100430043,01,72,11
484,17,590701100300100910088,02,72,12
485,17,590701100300102828001,01,72,11
486,17,590701100300101540141,01,11,"  "
487,17,590701100300100250025,01,11,"  "
